date,keyword,counts
1/8/23,Samsung,21
1/8/23,laptop,38
1/8/23,mechanical keyboard,1
1/8/23,noise cancelling headphones,1
1/8/23,smartphone,1
1/8/23,smartwatch,2
1/15/23,Apple,62
1/15/23,Logitech,2
1/15/23,NVIDIA,2
1/15/23,OLED monitor,0
1/15/23,Samsung,22
1/15/23,laptop,36
1/15/23,mechanical keyboard,1
1/15/23,noise cancelling headphones,1
1/15/23,smartphone,1
1/15/23,smartwatch,2
1/22/23,Apple,62
1/22/23,Logitech,2
1/22/23,NVIDIA,3
1/22/23,OLED monitor,0
1/22/23,Samsung,21
1/22/23,laptop,37
1/22/23,mechanical keyboard,1
1/22/23,noise cancelling headphones,1
1/22/23,smartphone,1
1/22/23,smartwatch,2
1/29/23,Apple,61
1/29/23,Logitech,2
1/29/23,NVIDIA,3
1/29/23,OLED monitor,0
1/29/23,Samsung,24
1/29/23,laptop,37
1/29/23,mechanical keyboard,1
1/29/23,noise cancelling headphones,1
1/29/23,smartphone,1
1/29/23,smartwatch,1
2/5/23,Apple,59
2/5/23,Logitech,2
2/5/23,NVIDIA,3
2/5/23,OLED monitor,0
2/5/23,Samsung,22
2/5/23,laptop,37
2/5/23,mechanical keyboard,1
2/5/23,noise cancelling headphones,1
2/5/23,smartphone,1
2/5/23,smartwatch,1
2/12/23,Apple,60
2/12/23,Logitech,2
2/12/23,NVIDIA,3
2/12/23,OLED monitor,0
2/12/23,Samsung,24
2/12/23,laptop,35
2/12/23,mechanical keyboard,1
2/12/23,noise cancelling headphones,1
2/12/23,smartphone,1
2/12/23,smartwatch,1
2/19/23,Apple,58
2/19/23,Logitech,2
2/19/23,NVIDIA,3
2/19/23,OLED monitor,0
2/19/23,Samsung,22
2/19/23,laptop,35
2/19/23,mechanical keyboard,1
2/19/23,noise cancelling headphones,1
2/19/23,smartphone,0
2/19/23,smartwatch,1
2/26/23,Apple,58
2/26/23,Logitech,2
2/26/23,NVIDIA,2
2/26/23,OLED monitor,0
2/26/23,Samsung,22
2/26/23,laptop,36
2/26/23,mechanical keyboard,1
2/26/23,noise cancelling headphones,1
2/26/23,smartphone,1
2/26/23,smartwatch,1
